Archivo,Fecha,Etiqueta_binaria,Etiqueta_multiple
f1p1img001,2025-05-01,saludable,saludable
f1p1img002,2025-05-01,enfermo,roya_nivel_2
f1p1img003,2025-05-01,saludable,saludable
f1p1img004,2025-05-01,saludable,saludable
f1p1img005,2025-05-01,enfermo,roya_nivel_2
f1p1img006,2025-05-01,saludable,saludable
f1p1img007,2025-05-01,enfermo,roya_nivel_3
f1p1img008,2025-05-01,enfermo,roya_nivel_2
f1p1img009,2025-05-01,saludable,saludable
f1p1img010,2025-05-01,enfermo,roya_nivel_2
f1p1img011,2025-05-01,saludable,saludable
f1p1img012,2025-05-01,saludable,saludable
f1p1img013,2025-05-01,saludable,saludable
f1p1img014,2025-05-01,saludable,saludable
f1p1img015,2025-05-01,enfermo,roya_nivel_2
f1p1img016,2025-05-01,saludable,saludable
f1p1img017,2025-05-01,saludable,saludable
f1p1img018,2025-05-01,saludable,saludable
f1p1img019,2025-05-01,saludable,saludable
f1p1img020,2025-05-01,saludable,saludable
f1p1img021,2025-05-01,saludable,saludable
f1p1img022,2025-05-01,saludable,saludable
f1p1img023,2025-05-01,saludable,saludable
f1p1img024,2025-05-01,enfermo,roya_nivel_2
f1p1img025,2025-05-01,saludable,saludable
f1p1img026,2025-05-01,enfermo,roya_nivel_2
f1p1img027,2025-05-01,saludable,saludable
f1p1img028,2025-05-01,saludable,saludable
f1p1img029,2025-05-01,saludable,saludable
f1p1img030,2025-05-01,enfermo,roya_nivel_1
f1p1img031,2025-05-01,enfermo,roya_nivel_1
f1p1img032,2025-05-01,enfermo,roya_nivel_2
f1p1img033,2025-05-01,enfermo,roya_nivel_1
f1p1img034,2025-05-01,saludable,saludable
f1p1img035,2025-05-01,enfermo,roya_nivel_1
f1p1img036,2025-05-01,saludable,saludable
f1p1img037,2025-05-01,enfermo,roya_nivel_2
f1p1img038,2025-05-01,saludable,saludable
f1p1img039,2025-05-01,enfermo,roya_nivel_2
f1p1img040,2025-05-01,enfermo,roya_nivel_2
f1p1img041,2025-05-01,saludable,saludable
f1p1img042,2025-05-01,saludable,saludable
f1p1img043,2025-05-01,enfermo,roya_nivel_1
f1p1img044,2025-05-01,saludable,saludable
f1p1img045,2025-05-01,saludable,saludable
f1p1img046,2025-05-01,saludable,saludable
f1p1img047,2025-05-01,saludable,saludable
f1p1img048,2025-05-01,enfermo,roya_nivel_2
f1p1img049,2025-05-01,enfermo,roya_nivel_2
f1p1img050,2025-05-01,enfermo,roya_nivel_1
f1p1img051,2025-05-02,saludable,saludable
f1p1img052,2025-05-02,enfermo,roya_nivel_1
f1p1img053,2025-05-02,saludable,saludable
f1p1img054,2025-05-02,enfermo,roya_nivel_1
f1p1img055,2025-05-02,enfermo,roya_nivel_2
f1p1img056,2025-05-02,enfermo,roya_nivel_1
f1p1img057,2025-05-02,enfermo,roya_nivel_2
f1p1img058,2025-05-02,saludable,saludable
f1p1img059,2025-05-02,enfermo,roya_nivel_1
f1p1img060,2025-05-02,enfermo,roya_nivel_2
f1p1img061,2025-05-02,saludable,saludable
f1p1img062,2025-05-02,enfermo,roya_nivel_1
f1p1img063,2025-05-02,saludable,saludable
f1p1img064,2025-05-02,enfermo,roya_nivel_1
f1p1img065,2025-05-02,saludable,saludable
f1p1img066,2025-05-02,enfermo,roya_nivel_1
f1p1img067,2025-05-02,saludable,saludable
f1p1img068,2025-05-02,enfermo,roya_nivel_1
f1p1img069,2025-05-02,enfermo,roya_nivel_2
f1p1img070,2025-05-02,enfermo,roya_nivel_1
f1p1img071,2025-05-02,saludable,saludable
f1p1img072,2025-05-02,saludable,saludable
f1p1img073,2025-05-02,saludable,saludable
f1p1img074,2025-05-02,saludable,saludable
f1p1img075,2025-05-02,enfermo,roya_nivel_1
f1p1img076,2025-05-02,enfermo,roya_nivel_2
f1p1img077,2025-05-02,saludable,saludable
f1p1img078,2025-05-02,enfermo,roya_nivel_2
f1p1img079,2025-05-02,enfermo,roya_nivel_3
f1p1img080,2025-05-02,enfermo,roya_nivel_3
f1p1img081,2025-05-02,enfermo,roya_nivel_1
f1p1img082,2025-05-02,saludable,saludable
f1p1img083,2025-05-02,saludable,saludable
f1p1img084,2025-05-02,enfermo,roya_nivel_3
f1p1img085,2025-05-02,enfermo,roya_nivel_4
f1p1img086,2025-05-02,saludable,saludable
f1p1img087,2025-05-02,saludable,saludable
f1p1img088,2025-05-02,enfermo,roya_nivel_2
f1p1img089,2025-05-02,saludable,saludable
f1p1img090,2025-05-02,enfermo,roya_nivel_4
f1p1img091,2025-05-02,saludable,saludable
f1p1img092,2025-05-02,enfermo,roya_nivel_3
f1p1img093,2025-05-02,enfermo,roya_nivel_2
f1p1img094,2025-05-02,saludable,saludable
f1p1img095,2025-05-02,enfermo,roya_nivel_1
f1p1img096,2025-05-02,saludable,saludable
f1p1img097,2025-05-02,enfermo,roya_nivel_4
f1p1img098,2025-05-02,saludable,saludable
f1p1img099,2025-05-02,enfermo,roya_nivel_1
f1p1img100,2025-05-02,saludable,saludable
f1p1img101,2025-05-03,enfermo,roya_nivel_1
f1p1img102,2025-05-03,saludable,saludable
f1p1img103,2025-05-03,saludable,saludable
f1p1img104,2025-05-03,enfermo,roya_nivel_1
f1p1img105,2025-05-03,saludable,saludable
f1p1img106,2025-05-03,enfermo,roya_nivel_1
f1p1img107,2025-05-03,saludable,saludable
f1p1img108,2025-05-03,enfermo,roya_nivel_1
f1p1img109,2025-05-03,saludable,saludable
f1p1img110,2025-05-03,saludable,saludable
f1p1img111,2025-05-03,enfermo,roya_nivel_1
f1p1img112,2025-05-03,saludable,saludable
f1p1img113,2025-05-03,saludable,saludable
f1p1img114,2025-05-03,saludable,saludable
f1p1img115,2025-05-03,enfermo,roya_nivel_2
f1p1img116,2025-05-03,enfermo,roya_nivel_1
f1p1img117,2025-05-03,saludable,saludable
f1p1img118,2025-05-03,saludable,saludable
f1p1img119,2025-05-03,enfermo,roya_nivel_2
f1p1img120,2025-05-03,enfermo,roya_nivel_1
f1p1img121,2025-05-03,saludable,saludable
f1p1img122,2025-05-03,saludable,saludable
f1p1img123,2025-05-03,enfermo,roya_nivel_1
f1p1img124,2025-05-03,enfermo,roya_nivel_1
f1p1img125,2025-05-03,saludable,saludable
f1p1img126,2025-05-03,enfermo,roya_nivel_1
f1p1img127,2025-05-03,saludable,saludable
f1p1img128,2025-05-03,enfermo,roya_nivel_1
f1p1img129,2025-05-03,saludable,saludable
f1p1img130,2025-05-03,enfermo,roya_nivel_1
f1p1img131,2025-05-03,saludable,saludable
f1p1img132,2025-05-03,saludable,saludable
f1p1img133,2025-05-03,enfermo,roya_nivel_1
f1p1img134,2025-05-03,enfermo,roya_nivel_1
f1p1img135,2025-05-03,saludable,saludable
f1p1img136,2025-05-03,enfermo,roya_nivel_1
f1p1img137,2025-05-03,saludable,saludable
f1p1img138,2025-05-03,saludable,saludable
f1p1img139,2025-05-03,enfermo,roya_nivel_1
f1p1img140,2025-05-03,saludable,saludable
f1p1img141,2025-05-03,saludable,saludable
f1p1img142,2025-05-03,enfermo,roya_nivel_1
f1p1img143,2025-05-03,enfermo,roya_nivel_1
f1p1img144,2025-05-03,enfermo,roya_nivel_1
f1p1img145,2025-05-03,saludable,saludable
f1p1img146,2025-05-03,saludable,saludable
f1p1img147,2025-05-03,enfermo,roya_nivel_1
f1p1img148,2025-05-03,enfermo,roya_nivel_1
f1p1img149,2025-05-03,saludable,saludable
f1p1img150,2025-05-03,enfermo,roya_nivel_1
f1p1img151,2025-05-04,enfermo,roya_nivel_1
f1p1img152,2025-05-04,saludable,saludable
f1p1img153,2025-05-04,saludable,saludable
f1p1img154,2025-05-04,saludable,saludable
f1p1img155,2025-05-04,enfermo,roya_nivel_1
f1p1img156,2025-05-04,saludable,saludable
f1p1img157,2025-05-04,saludable,saludable
f1p1img158,2025-05-04,saludable,saludable
f1p1img159,2025-05-04,enfermo,roya_nivel_1
f1p1img160,2025-05-04,enfermo,roya_nivel_1
f1p1img161,2025-05-04,saludable,saludable
f1p1img162,2025-05-04,saludable,saludable
f1p1img163,2025-05-04,enfermo,roya_nivel_1
f1p1img164,2025-05-04,enfermo,roya_nivel_1
f1p1img165,2025-05-04,saludable,saludable
f1p1img166,2025-05-04,saludable,saludable
f1p1img167,2025-05-04,enfermo,roya_nivel_1
f1p1img168,2025-05-04,saludable,saludable
f1p1img169,2025-05-04,saludable,saludable
f1p1img170,2025-05-04,saludable,saludable
f1p1img171,2025-05-04,saludable,saludable
f1p1img172,2025-05-04,enfermo,roya_nivel_1
f1p1img173,2025-05-04,saludable,saludable
f1p1img174,2025-05-04,enfermo,roya_nivel_1
f1p1img175,2025-05-04,saludable,saludable
f1p1img176,2025-05-04,enfermo,roya_nivel_1
f1p1img177,2025-05-04,saludable,saludable
f1p1img178,2025-05-04,saludable,saludable
f1p1img179,2025-05-04,enfermo,roya_nivel_1
f1p1img180,2025-05-04,enfermo,roya_nivel_1
f1p1img181,2025-05-04,saludable,saludable
f1p1img182,2025-05-04,saludable,saludable
f1p1img183,2025-05-04,enfermo,roya_nivel_1
f1p1img184,2025-05-04,enfermo,roya_nivel_1
f1p1img185,2025-05-04,saludable,saludable
f1p1img186,2025-05-04,saludable,saludable
f1p1img187,2025-05-04,saludable,saludable
f1p1img188,2025-05-04,enfermo,roya_nivel_1
f1p1img189,2025-05-04,enfermo,roya_nivel_1
f1p1img190,2025-05-04,saludable,saludable
f1p1img191,2025-05-04,saludable,saludable
f1p1img192,2025-05-04,enfermo,roya_nivel_1
f1p1img193,2025-05-04,enfermo,roya_nivel_1
f1p1img194,2025-05-04,saludable,saludable
f1p1img195,2025-05-04,enfermo,roya_nivel_4
f1p1img196,2025-05-04,saludable,saludable
f1p1img197,2025-05-04,saludable,saludable
f1p1img198,2025-05-04,enfermo,roya_nivel_1
f1p1img199,2025-05-04,saludable,saludable
f1p1img200,2025-05-04,enfermo,roya_nivel_1
f1p1img201,2025-05-05,enfermo,roya_nivel_1
f1p1img202,2025-05-05,saludable,saludable
f1p1img203,2025-05-05,saludable,saludable
f1p1img204,2025-05-05,enfermo,roya_nivel_1
f1p1img205,2025-05-05,saludable,saludable
f1p1img206,2025-05-05,enfermo,roya_nivel_4
f1p1img207,2025-05-05,saludable,saludable
f1p1img208,2025-05-05,saludable,saludable
f1p1img209,2025-05-05,saludable,saludable
f1p1img210,2025-05-05,saludable,saludable
f1p1img211,2025-05-05,enfermo,roya_nivel_1
f1p1img212,2025-05-05,enfermo,roya_nivel_1
f1p1img213,2025-05-05,saludable,saludable
f1p1img214,2025-05-05,enfermo,roya_nivel_1
f1p1img215,2025-05-05,enfermo,roya_nivel_1
f1p1img216,2025-05-05,enfermo,roya_nivel_2
f1p1img217,2025-05-05,saludable,saludable
