latitud,longitud,fecha_hora,temperatura,humedad_relativa,precipitacion,radiacion_solar,humeda
4.617,-75.637,2025-09-01 00:00:00,13.4,96,0.8,0.0,1
4.617,-75.637,2025-09-01 01:00:00,13.4,97,1.0,0.0,1
4.617,-75.637,2025-09-01 02:00:00,13.2,97,0.9,0.0,1
4.617,-75.637,2025-09-01 03:00:00,13.1,97,1.0,0.0,1
4.617,-75.637,2025-09-01 04:00:00,13.3,96,0.1,0.0,1
4.617,-75.637,2025-09-01 05:00:00,13.3,96,0.1,0.0,1
4.617,-75.637,2025-09-01 06:00:00,13.3,96,0.0,0.0,1
4.617,-75.637,2025-09-01 07:00:00,14.8,93,0.0,58.0,1
4.617,-75.637,2025-09-01 08:00:00,16.9,84,0.0,293.0,0
4.617,-75.637,2025-09-01 09:00:00,19.3,74,0.0,573.0,0
4.617,-75.637,2025-09-01 10:00:00,20.8,67,0.0,707.0,0
4.617,-75.637,2025-09-01 11:00:00,21.4,67,0.2,755.0,0
4.617,-75.637,2025-09-01 12:00:00,22.0,65,0.3,814.0,0
4.617,-75.637,2025-09-01 13:00:00,22.0,67,0.5,908.0,0
4.617,-75.637,2025-09-01 14:00:00,21.5,75,1.2,936.0,0
4.617,-75.637,2025-09-01 15:00:00,20.5,84,2.1,797.0,0
4.617,-75.637,2025-09-01 16:00:00,20.2,87,2.2,561.0,0
4.617,-75.637,2025-09-01 17:00:00,19.6,89,1.0,343.0,0
4.617,-75.637,2025-09-01 18:00:00,16.6,91,1.1,75.0,1
4.617,-75.637,2025-09-01 19:00:00,15.1,97,1.6,0.0,1
4.617,-75.637,2025-09-01 20:00:00,14.2,97,1.4,0.0,1
4.617,-75.637,2025-09-01 21:00:00,13.7,97,1.3,0.0,1
4.617,-75.637,2025-09-01 22:00:00,13.4,96,0.5,0.0,1
4.617,-75.637,2025-09-01 23:00:00,13.3,95,0.1,0.0,1
4.617,-75.637,2025-09-02 00:00:00,13.7,94,0.1,0.0,1
4.617,-75.637,2025-09-02 01:00:00,14.5,94,0.1,0.0,1
4.617,-75.637,2025-09-02 02:00:00,14.2,96,0.3,0.0,1
4.617,-75.637,2025-09-02 03:00:00,13.7,96,0.0,0.0,1
4.617,-75.637,2025-09-02 04:00:00,13.9,93,0.0,0.0,1
4.617,-75.637,2025-09-02 05:00:00,13.6,93,0.0,0.0,1
4.617,-75.637,2025-09-02 06:00:00,12.8,94,0.0,0.0,1
4.617,-75.637,2025-09-02 07:00:00,14.8,89,0.0,81.0,0
4.617,-75.637,2025-09-02 08:00:00,17.5,79,0.0,323.0,0
4.617,-75.637,2025-09-02 09:00:00,20.0,69,0.0,571.0,0
4.617,-75.637,2025-09-02 10:00:00,21.3,66,0.1,776.0,0
4.617,-75.637,2025-09-02 11:00:00,21.6,67,0.3,839.0,0
4.617,-75.637,2025-09-02 12:00:00,21.9,69,0.7,917.0,0
4.617,-75.637,2025-09-02 13:00:00,21.5,76,0.8,976.0,0
4.617,-75.637,2025-09-02 14:00:00,21.3,77,1.9,930.0,0
4.617,-75.637,2025-09-02 15:00:00,20.8,83,2.7,784.0,0
4.617,-75.637,2025-09-02 16:00:00,20.5,87,1.9,546.0,0
4.617,-75.637,2025-09-02 17:00:00,19.3,90,1.6,295.0,0
4.617,-75.637,2025-09-02 18:00:00,16.5,92,3.1,73.0,1
4.617,-75.637,2025-09-02 19:00:00,14.9,97,2.4,0.0,1
4.617,-75.637,2025-09-02 20:00:00,14.1,97,0.9,0.0,1
4.617,-75.637,2025-09-02 21:00:00,13.7,96,0.2,0.0,1
4.617,-75.637,2025-09-02 22:00:00,13.5,97,2.8,0.0,1
4.617,-75.637,2025-09-02 23:00:00,13.4,97,1.9,0.0,1
4.617,-75.637,2025-09-03 00:00:00,13.3,96,0.7,0.0,1
4.617,-75.637,2025-09-03 01:00:00,13.1,95,0.6,0.0,1
4.617,-75.637,2025-09-03 02:00:00,12.7,95,0.3,0.0,1
4.617,-75.637,2025-09-03 03:00:00,12.4,94,0.0,0.0,1
4.617,-75.637,2025-09-03 04:00:00,12.1,94,0.0,0.0,1
4.617,-75.637,2025-09-03 05:00:00,12.0,94,0.0,0.0,1
4.617,-75.637,2025-09-03 06:00:00,12.0,93,0.0,0.0,1
4.617,-75.637,2025-09-03 07:00:00,14.2,89,0.0,73.0,0
4.617,-75.637,2025-09-03 08:00:00,16.9,79,0.0,321.0,0
4.617,-75.637,2025-09-03 09:00:00,19.6,67,0.0,562.0,0
4.617,-75.637,2025-09-03 10:00:00,21.2,62,0.0,767.0,0
4.617,-75.637,2025-09-03 11:00:00,22.6,59,0.0,930.0,0
4.617,-75.637,2025-09-03 12:00:00,23.2,58,0.2,987.0,0
4.617,-75.637,2025-09-03 13:00:00,23.9,55,0.2,1016.0,0
4.617,-75.637,2025-09-03 14:00:00,23.0,63,0.6,862.0,0
4.617,-75.637,2025-09-03 15:00:00,22.6,64,1.1,618.0,0
4.617,-75.637,2025-09-03 16:00:00,26.3,58,0.0,350.0,0
4.617,-75.637,2025-09-03 17:00:00,24.5,64,0.3,189.0,0
4.617,-75.637,2025-09-03 18:00:00,22.1,77,0.9,42.0,0
4.617,-75.637,2025-09-03 19:00:00,21.3,79,0.0,0.0,0
4.617,-75.637,2025-09-03 20:00:00,20.9,83,0.0,0.0,0
4.617,-75.637,2025-09-03 21:00:00,20.4,86,0.1,0.0,0
4.617,-75.637,2025-09-03 22:00:00,19.5,90,0.0,0.0,0
4.617,-75.637,2025-09-03 23:00:00,19.1,89,0.0,0.0,0
4.617,-75.637,2025-09-04 00:00:00,18.3,92,0.0,0.0,1
4.617,-75.637,2025-09-04 01:00:00,19.3,86,0.2,0.0,0
4.617,-75.637,2025-09-04 02:00:00,18.8,89,1.0,0.0,0
4.617,-75.637,2025-09-04 03:00:00,18.0,93,1.0,0.0,1
4.617,-75.637,2025-09-04 04:00:00,17.3,96,0.0,0.0,1
4.617,-75.637,2025-09-04 05:00:00,17.3,95,0.0,0.0,1
4.617,-75.637,2025-09-04 06:00:00,17.1,95,0.7,0.0,1
4.617,-75.637,2025-09-04 07:00:00,18.0,95,0.0,67.0,1
4.617,-75.637,2025-09-04 08:00:00,20.0,85,0.0,213.0,0
4.617,-75.637,2025-09-04 09:00:00,21.2,83,0.0,396.0,0
4.617,-75.637,2025-09-04 10:00:00,22.2,79,0.0,528.0,0
4.617,-75.637,2025-09-04 11:00:00,23.2,73,0.3,708.0,0
4.617,-75.637,2025-09-04 12:00:00,24.0,70,0.1,740.0,0
4.617,-75.637,2025-09-04 13:00:00,22.6,78,0.2,647.0,0
4.617,-75.637,2025-09-04 14:00:00,23.1,75,0.2,531.0,0
4.617,-75.637,2025-09-04 15:00:00,23.3,73,0.1,445.0,0
4.617,-75.637,2025-09-04 16:00:00,23.2,71,0.1,331.0,0
4.617,-75.637,2025-09-04 17:00:00,22.2,77,0.7,147.0,0
4.617,-75.637,2025-09-04 18:00:00,20.9,83,1.0,36.0,0
4.617,-75.637,2025-09-04 19:00:00,20.5,85,1.5,0.0,0
4.617,-75.637,2025-09-04 20:00:00,20.2,87,0.0,0.0,0
4.617,-75.637,2025-09-04 21:00:00,19.9,88,0.0,0.0,0
4.617,-75.637,2025-09-04 22:00:00,19.4,90,0.0,0.0,0
4.617,-75.637,2025-09-04 23:00:00,19.0,91,0.0,0.0,1
4.617,-75.637,2025-09-05 00:00:00,18.7,92,0.0,0.0,1
4.617,-75.637,2025-09-05 01:00:00,18.8,88,0.0,0.0,0
4.617,-75.637,2025-09-05 02:00:00,18.5,89,0.4,0.0,0
4.617,-75.637,2025-09-05 03:00:00,18.1,90,0.2,0.0,0
4.617,-75.637,2025-09-05 04:00:00,17.8,91,0.0,0.0,1
4.617,-75.637,2025-09-05 05:00:00,17.6,91,0.0,0.0,1
4.617,-75.637,2025-09-05 06:00:00,17.7,90,0.0,0.0,0
4.617,-75.637,2025-09-05 07:00:00,18.2,93,0.0,51.0,1
4.617,-75.637,2025-09-05 08:00:00,19.8,84,0.0,189.0,0
4.617,-75.637,2025-09-05 09:00:00,20.9,80,0.0,364.0,0
4.617,-75.637,2025-09-05 10:00:00,21.4,79,0.7,504.0,0
4.617,-75.637,2025-09-05 11:00:00,22.3,75,0.0,572.0,0
4.617,-75.637,2025-09-05 12:00:00,22.7,73,0.8,602.0,0
4.617,-75.637,2025-09-05 13:00:00,23.4,70,0.0,555.0,0
4.617,-75.637,2025-09-05 14:00:00,23.7,70,0.2,547.0,0
4.617,-75.637,2025-09-05 15:00:00,23.6,73,0.6,453.0,0
4.617,-75.637,2025-09-05 16:00:00,23.0,76,1.6,307.0,0
4.617,-75.637,2025-09-05 17:00:00,21.7,83,6.0,123.0,0
4.617,-75.637,2025-09-05 18:00:00,20.7,87,5.9,36.0,0
4.617,-75.637,2025-09-05 19:00:00,20.4,89,2.3,0.0,0
4.617,-75.637,2025-09-05 20:00:00,20.2,89,1.8,0.0,0
4.617,-75.637,2025-09-05 21:00:00,19.5,94,0.0,0.0,1
4.617,-75.637,2025-09-05 22:00:00,19.1,94,0.0,0.0,1
4.617,-75.637,2025-09-05 23:00:00,18.7,94,0.0,0.0,1
4.617,-75.637,2025-09-06 00:00:00,18.3,94,0.0,0.0,1
4.617,-75.637,2025-09-06 01:00:00,18.3,91,0.6,0.0,1
4.617,-75.637,2025-09-06 02:00:00,18.2,92,1.3,0.0,1
4.617,-75.637,2025-09-06 03:00:00,17.9,93,1.5,0.0,1
4.617,-75.637,2025-09-06 04:00:00,17.7,94,1.3,0.0,1
4.617,-75.637,2025-09-06 05:00:00,17.4,94,0.4,0.0,1
4.617,-75.637,2025-09-06 06:00:00,17.2,94,0.0,0.0,1
4.617,-75.637,2025-09-06 07:00:00,17.6,93,0.0,69.0,1
4.617,-75.637,2025-09-06 08:00:00,19.3,83,0.0,242.0,0
4.617,-75.637,2025-09-06 09:00:00,20.4,83,0.0,457.0,0
4.617,-75.637,2025-09-06 10:00:00,21.4,79,0.0,568.0,0
4.617,-75.637,2025-09-06 11:00:00,22.6,74,0.0,680.0,0
4.617,-75.637,2025-09-06 12:00:00,23.6,68,0.0,702.0,0
4.617,-75.637,2025-09-06 13:00:00,23.0,74,0.1,723.0,0
4.617,-75.637,2025-09-06 14:00:00,23.8,69,0.3,555.0,0
4.617,-75.637,2025-09-06 15:00:00,23.5,74,0.4,354.0,0
4.617,-75.637,2025-09-06 16:00:00,22.4,79,4.9,195.0,0
4.617,-75.637,2025-09-06 17:00:00,21.8,80,3.4,136.0,0
4.617,-75.637,2025-09-06 18:00:00,20.9,84,1.9,40.0,0
4.617,-75.637,2025-09-06 19:00:00,20.8,80,1.1,0.0,0
4.617,-75.637,2025-09-06 20:00:00,20.2,83,0.4,0.0,0
4.617,-75.637,2025-09-06 21:00:00,19.8,86,0.5,0.0,0
4.617,-75.637,2025-09-06 22:00:00,19.5,87,0.7,0.0,0
4.617,-75.637,2025-09-06 23:00:00,19.1,89,0.5,0.0,0
4.617,-75.637,2025-09-07 00:00:00,18.9,88,0.5,0.0,0
4.617,-75.637,2025-09-07 01:00:00,18.6,87,0.4,0.0,0
4.617,-75.637,2025-09-07 02:00:00,18.4,88,0.3,0.0,0
4.617,-75.637,2025-09-07 03:00:00,18.4,87,0.0,0.0,0
4.617,-75.637,2025-09-07 04:00:00,18.0,89,0.0,0.0,0
4.617,-75.637,2025-09-07 05:00:00,17.7,91,0.6,0.0,1
4.617,-75.637,2025-09-07 06:00:00,17.6,92,0.6,0.0,1
4.617,-75.637,2025-09-07 07:00:00,18.4,90,0.2,62.0,0
4.617,-75.637,2025-09-07 08:00:00,19.4,83,0.0,190.0,0
4.617,-75.637,2025-09-07 09:00:00,20.3,82,0.0,346.0,0
4.617,-75.637,2025-09-07 10:00:00,21.3,78,0.0,478.0,0
4.617,-75.637,2025-09-07 11:00:00,22.0,78,0.2,618.0,0
4.617,-75.637,2025-09-07 12:00:00,22.3,77,0.4,528.0,0
4.617,-75.637,2025-09-07 13:00:00,21.5,79,0.1,607.0,0
4.617,-75.637,2025-09-07 14:00:00,21.8,78,1.0,334.0,0
4.617,-75.637,2025-09-07 15:00:00,21.6,78,0.5,353.0,0
4.617,-75.637,2025-09-07 16:00:00,22.0,75,0.1,326.0,0
4.617,-75.637,2025-09-07 17:00:00,20.9,79,3.4,150.0,0
4.617,-75.637,2025-09-07 18:00:00,20.2,82,2.5,38.0,0
4.617,-75.637,2025-09-07 19:00:00,19.5,87,1.9,0.0,0
4.617,-75.637,2025-09-07 20:00:00,19.1,86,1.4,0.0,0
