datetime,temp,rh,precip,radiation,wet,block
2025-09-01 00:00:00,19.0,92,0.1,0.0,True,1
2025-09-01 01:00:00,18.9,88,0.0,0.0,False,2
2025-09-01 02:00:00,18.5,91,0.5,0.0,True,3
2025-09-01 03:00:00,18.3,91,0.1,0.0,True,3
2025-09-01 04:00:00,18.1,92,0.3,0.0,True,3
2025-09-01 05:00:00,18.0,93,0.3,0.0,True,3
2025-09-01 06:00:00,17.9,93,0.0,0.0,True,3
2025-09-01 07:00:00,18.7,92,0.0,54.0,False,4
2025-09-01 08:00:00,20.1,85,0.0,221.0,False,4
2025-09-01 09:00:00,21.1,82,0.0,351.0,False,4
2025-09-01 10:00:00,22.4,78,0.2,559.0,True,5
2025-09-01 11:00:00,23.3,74,0.4,728.0,True,5
2025-09-01 12:00:00,24.4,67,0.0,699.0,False,6
2025-09-01 13:00:00,23.7,74,0.0,816.0,False,6
2025-09-01 14:00:00,24.1,71,0.4,588.0,True,7
2025-09-01 15:00:00,24.0,71,0.3,383.0,True,7
2025-09-01 16:00:00,23.3,75,0.5,263.0,True,7
2025-09-01 17:00:00,22.1,79,3.1,125.0,True,7
2025-09-01 18:00:00,21.5,81,1.6,37.0,True,7
2025-09-01 19:00:00,20.2,89,3.9,0.0,True,7
2025-09-01 20:00:00,19.8,90,3.9,0.0,True,7
2025-09-01 21:00:00,19.5,90,3.2,0.0,True,7
2025-09-01 22:00:00,19.0,92,1.3,0.0,True,7
2025-09-01 23:00:00,18.9,92,3.0,0.0,True,7
2025-09-02 00:00:00,18.7,92,2.4,0.0,True,7
2025-09-02 01:00:00,18.8,91,2.5,0.0,True,7
2025-09-02 02:00:00,18.7,91,1.4,0.0,True,7
2025-09-02 03:00:00,18.5,91,1.5,0.0,True,7
2025-09-02 04:00:00,18.3,92,1.2,0.0,True,7
2025-09-02 05:00:00,18.1,92,0.8,0.0,True,7
2025-09-02 06:00:00,18.0,92,0.0,0.0,True,7
2025-09-02 07:00:00,18.6,91,0.0,60.0,False,8
2025-09-02 08:00:00,20.1,83,0.0,246.0,False,8
2025-09-02 09:00:00,21.1,82,0.0,402.0,False,8
2025-09-02 10:00:00,22.2,79,0.0,590.0,False,8
2025-09-02 11:00:00,23.2,75,0.1,722.0,True,9
2025-09-02 12:00:00,24.1,71,0.2,798.0,True,9
2025-09-02 13:00:00,24.4,70,0.0,826.0,False,10
2025-09-02 14:00:00,24.7,67,0.1,543.0,True,11
2025-09-02 15:00:00,24.8,68,0.1,415.0,True,11
2025-09-02 16:00:00,24.0,72,0.6,297.0,True,11
2025-09-02 17:00:00,22.9,76,0.7,145.0,True,11
2025-09-02 18:00:00,21.5,82,3.0,43.0,True,11
2025-09-02 19:00:00,20.8,84,2.7,0.0,True,11
2025-09-02 20:00:00,20.3,86,0.1,0.0,True,11
2025-09-02 21:00:00,19.7,88,0.1,0.0,True,11
2025-09-02 22:00:00,19.1,91,0.0,0.0,True,11
2025-09-02 23:00:00,18.6,92,0.0,0.0,True,11
2025-09-03 00:00:00,18.4,92,0.0,0.0,True,11
2025-09-03 01:00:00,18.8,86,0.0,0.0,False,12
2025-09-03 02:00:00,18.4,89,0.9,0.0,True,13
2025-09-03 03:00:00,18.2,90,0.3,0.0,True,13
2025-09-03 04:00:00,17.7,92,0.0,0.0,True,13
2025-09-03 05:00:00,17.5,92,0.0,0.0,True,13
2025-09-03 06:00:00,17.3,92,0.0,0.0,True,13
2025-09-03 07:00:00,18.4,93,0.0,63.0,False,14
2025-09-03 08:00:00,21.0,80,0.0,300.0,False,14
2025-09-03 09:00:00,22.0,78,0.0,507.0,False,14
2025-09-03 10:00:00,23.3,72,0.0,667.0,False,14
2025-09-03 11:00:00,24.8,65,0.0,829.0,False,14
2025-09-03 12:00:00,26.1,58,0.0,893.0,False,14
2025-09-03 13:00:00,25.6,63,0.0,848.0,False,14
2025-09-03 14:00:00,26.5,57,0.0,766.0,False,14
2025-09-03 15:00:00,26.5,58,0.0,608.0,False,14
2025-09-03 16:00:00,26.3,58,0.0,350.0,False,14
2025-09-03 17:00:00,24.5,64,0.3,189.0,True,15
2025-09-03 18:00:00,22.1,77,0.9,42.0,True,15
2025-09-03 19:00:00,21.3,79,0.0,0.0,False,16
2025-09-03 20:00:00,20.9,83,0.0,0.0,False,16
2025-09-03 21:00:00,20.4,86,0.1,0.0,True,17
2025-09-03 22:00:00,19.5,90,0.0,0.0,False,18
2025-09-03 23:00:00,19.1,89,0.0,0.0,False,18
2025-09-04 00:00:00,18.3,92,0.0,0.0,True,19
2025-09-04 01:00:00,19.3,86,0.2,0.0,True,19
2025-09-04 02:00:00,18.8,89,1.0,0.0,True,19
2025-09-04 03:00:00,18.0,93,1.0,0.0,True,19
2025-09-04 04:00:00,17.3,96,0.0,0.0,True,19
2025-09-04 05:00:00,17.3,95,0.0,0.0,True,19
2025-09-04 06:00:00,17.1,95,0.7,0.0,True,19
2025-09-04 07:00:00,18.0,95,0.0,67.0,False,20
2025-09-04 08:00:00,20.0,85,0.0,213.0,False,20
2025-09-04 09:00:00,21.2,83,0.0,396.0,False,20
2025-09-04 10:00:00,22.2,79,0.0,528.0,False,20
2025-09-04 11:00:00,23.2,73,0.3,708.0,True,21
2025-09-04 12:00:00,24.0,70,0.1,740.0,True,21
2025-09-04 13:00:00,22.6,78,0.2,647.0,True,21
2025-09-04 14:00:00,23.1,75,0.2,531.0,True,21
2025-09-04 15:00:00,23.3,73,0.1,445.0,True,21
2025-09-04 16:00:00,23.2,71,0.1,331.0,True,21
2025-09-04 17:00:00,22.2,77,0.7,147.0,True,21
2025-09-04 18:00:00,20.9,83,1.0,36.0,True,21
2025-09-04 19:00:00,20.5,85,1.5,0.0,True,21
2025-09-04 20:00:00,20.2,87,0.0,0.0,False,22
2025-09-04 21:00:00,19.9,88,0.0,0.0,False,22
2025-09-04 22:00:00,19.4,90,0.0,0.0,False,22
2025-09-04 23:00:00,19.0,91,0.0,0.0,True,23
2025-09-05 00:00:00,18.7,92,0.0,0.0,True,23
2025-09-05 01:00:00,18.8,88,0.0,0.0,False,24
2025-09-05 02:00:00,18.5,89,0.4,0.0,True,25
2025-09-05 03:00:00,18.1,90,0.2,0.0,True,25
2025-09-05 04:00:00,17.8,91,0.0,0.0,True,25
2025-09-05 05:00:00,17.6,91,0.0,0.0,True,25
2025-09-05 06:00:00,17.7,90,0.0,0.0,False,26
2025-09-05 07:00:00,18.2,93,0.0,51.0,False,26
2025-09-05 08:00:00,19.8,84,0.0,189.0,False,26
2025-09-05 09:00:00,20.9,80,0.0,364.0,False,26
2025-09-05 10:00:00,21.4,79,0.7,504.0,True,27
2025-09-05 11:00:00,22.3,75,0.0,572.0,False,28
2025-09-05 12:00:00,22.7,73,0.8,602.0,True,29
2025-09-05 13:00:00,23.4,70,0.0,555.0,False,30
2025-09-05 14:00:00,23.7,70,0.2,547.0,True,31
2025-09-05 15:00:00,23.6,73,0.6,453.0,True,31
2025-09-05 16:00:00,23.0,76,1.6,307.0,True,31
2025-09-05 17:00:00,21.7,83,6.0,123.0,True,31
2025-09-05 18:00:00,20.7,87,5.9,36.0,True,31
2025-09-05 19:00:00,20.4,89,2.3,0.0,True,31
2025-09-05 20:00:00,20.2,89,1.8,0.0,True,31
2025-09-05 21:00:00,19.5,94,0.0,0.0,True,31
2025-09-05 22:00:00,19.1,94,0.0,0.0,True,31
2025-09-05 23:00:00,18.7,94,0.0,0.0,True,31
2025-09-06 00:00:00,18.3,94,0.0,0.0,True,31
2025-09-06 01:00:00,18.3,91,0.6,0.0,True,31
2025-09-06 02:00:00,18.2,92,1.3,0.0,True,31
2025-09-06 03:00:00,17.9,93,1.5,0.0,True,31
2025-09-06 04:00:00,17.7,94,1.3,0.0,True,31
2025-09-06 05:00:00,17.4,94,0.4,0.0,True,31
2025-09-06 06:00:00,17.2,94,0.0,0.0,True,31
2025-09-06 07:00:00,17.6,93,0.0,69.0,False,32
2025-09-06 08:00:00,19.3,83,0.0,242.0,False,32
2025-09-06 09:00:00,20.4,83,0.0,457.0,False,32
2025-09-06 10:00:00,21.4,79,0.0,568.0,False,32
2025-09-06 11:00:00,22.6,74,0.0,680.0,False,32
2025-09-06 12:00:00,23.6,68,0.0,702.0,False,32
2025-09-06 13:00:00,23.0,74,0.1,723.0,True,33
2025-09-06 14:00:00,23.8,69,0.3,555.0,True,33
2025-09-06 15:00:00,23.5,74,0.4,354.0,True,33
2025-09-06 16:00:00,22.4,79,4.9,195.0,True,33
2025-09-06 17:00:00,21.8,80,3.4,136.0,True,33
2025-09-06 18:00:00,20.9,84,1.9,40.0,True,33
2025-09-06 19:00:00,20.8,80,1.1,0.0,True,33
2025-09-06 20:00:00,20.2,83,0.4,0.0,True,33
2025-09-06 21:00:00,19.8,86,0.5,0.0,True,33
2025-09-06 22:00:00,19.5,87,0.7,0.0,True,33
2025-09-06 23:00:00,19.1,89,0.5,0.0,True,33
2025-09-07 00:00:00,18.9,88,0.5,0.0,True,33
2025-09-07 01:00:00,18.6,87,0.4,0.0,True,33
2025-09-07 02:00:00,18.4,88,0.3,0.0,True,33
2025-09-07 03:00:00,18.4,87,0.0,0.0,False,34
2025-09-07 04:00:00,18.0,89,0.0,0.0,False,34
2025-09-07 05:00:00,17.7,91,0.6,0.0,True,35
2025-09-07 06:00:00,17.6,92,0.6,0.0,True,35
2025-09-07 07:00:00,18.4,90,0.2,62.0,True,35
2025-09-07 08:00:00,19.4,83,0.0,190.0,False,36
2025-09-07 09:00:00,20.3,82,0.0,346.0,False,36
2025-09-07 10:00:00,21.3,78,0.0,478.0,False,36
2025-09-07 11:00:00,22.0,78,0.2,618.0,True,37
2025-09-07 12:00:00,22.3,77,0.4,528.0,True,37
2025-09-07 13:00:00,21.5,79,0.1,607.0,True,37
2025-09-07 14:00:00,21.8,78,1.0,334.0,True,37
2025-09-07 15:00:00,21.6,78,0.5,353.0,True,37
2025-09-07 16:00:00,22.0,75,0.1,326.0,True,37
2025-09-07 17:00:00,20.9,79,3.4,150.0,True,37
2025-09-07 18:00:00,20.2,82,2.5,38.0,True,37
2025-09-07 19:00:00,19.5,87,1.9,0.0,True,37
2025-09-07 20:00:00,19.1,86,1.4,0.0,True,37
2025-09-07 21:00:00,18.7,88,0.8,0.0,True,37
2025-09-07 22:00:00,18.3,90,0.0,0.0,False,38
2025-09-07 23:00:00,17.9,92,0.0,0.0,True,39
2025-09-08 00:00:00,17.8,93,0.0,0.0,True,39
2025-09-08 01:00:00,18.0,89,0.0,0.0,False,40
2025-09-08 02:00:00,17.8,90,0.0,0.0,False,40
2025-09-08 03:00:00,17.4,92,0.0,0.0,True,41
2025-09-08 04:00:00,16.8,94,0.0,0.0,True,41
2025-09-08 05:00:00,16.9,93,0.0,0.0,True,41
2025-09-08 06:00:00,16.9,93,0.0,0.0,True,41
2025-09-08 07:00:00,18.1,89,0.0,47.0,False,42
2025-09-08 08:00:00,19.2,88,0.0,216.0,False,42
2025-09-08 09:00:00,20.1,87,0.0,360.0,False,42
2025-09-08 10:00:00,21.7,81,0.0,583.0,False,42
2025-09-08 11:00:00,22.9,75,0.0,739.0,False,42
2025-09-08 12:00:00,23.7,70,0.0,690.0,False,42
2025-09-08 13:00:00,24.0,71,0.0,761.0,False,42
2025-09-08 14:00:00,24.7,67,0.1,621.0,True,43
2025-09-08 15:00:00,24.9,65,0.0,559.0,False,44
2025-09-08 16:00:00,24.0,70,0.5,387.0,True,45
2025-09-08 17:00:00,22.1,79,3.1,114.0,True,45
2025-09-08 18:00:00,20.7,85,2.1,32.0,True,45
2025-09-08 19:00:00,21.2,80,1.8,0.0,True,45
2025-09-08 20:00:00,20.5,84,0.4,0.0,True,45
2025-09-08 21:00:00,20.0,86,0.0,0.0,False,46
2025-09-08 22:00:00,19.1,91,0.0,0.0,True,47
2025-09-08 23:00:00,18.7,93,0.0,0.0,True,47
2025-09-09 00:00:00,18.5,93,0.0,0.0,True,47
2025-09-09 01:00:00,18.4,92,0.0,0.0,True,47
2025-09-09 02:00:00,17.6,96,0.0,0.0,True,47
2025-09-09 03:00:00,17.2,96,0.0,0.0,True,47
2025-09-09 04:00:00,16.9,95,0.0,0.0,True,47
2025-09-09 05:00:00,16.9,93,0.0,0.0,True,47
2025-09-09 06:00:00,16.7,93,0.0,0.0,True,47
2025-09-09 07:00:00,17.7,94,0.0,77.0,False,48
2025-09-09 08:00:00,20.6,82,0.0,310.0,False,48
2025-09-09 09:00:00,21.9,78,0.0,512.0,False,48
2025-09-09 10:00:00,23.2,73,0.0,686.0,False,48
2025-09-09 11:00:00,24.4,67,0.0,801.0,False,48
2025-09-09 12:00:00,25.6,61,0.0,859.0,False,48
2025-09-09 13:00:00,26.6,55,0.0,862.0,False,48
2025-09-09 14:00:00,27.2,52,0.0,789.0,False,48
2025-09-09 15:00:00,27.2,52,0.1,619.0,True,49
2025-09-09 16:00:00,26.4,54,0.2,404.0,True,49
2025-09-09 17:00:00,24.6,61,0.1,164.0,True,49
2025-09-09 18:00:00,22.4,72,0.4,45.0,True,49
2025-09-09 19:00:00,22.1,78,0.1,0.0,True,49
2025-09-09 20:00:00,21.2,84,0.0,0.0,False,50
2025-09-09 21:00:00,20.8,85,0.0,0.0,False,50
2025-09-09 22:00:00,20.8,83,0.0,0.0,False,50
2025-09-09 23:00:00,20.5,82,0.0,0.0,False,50
2025-09-10 00:00:00,19.6,86,0.0,0.0,False,50
2025-09-10 01:00:00,18.7,93,0.0,0.0,True,51
2025-09-10 02:00:00,18.1,95,0.0,0.0,True,51
2025-09-10 03:00:00,17.9,94,0.0,0.0,True,51
2025-09-10 04:00:00,17.6,94,0.0,0.0,True,51
2025-09-10 05:00:00,17.6,94,0.0,0.0,True,51
2025-09-10 06:00:00,17.2,96,0.0,0.0,True,51
2025-09-10 07:00:00,18.5,93,0.0,73.0,False,52
2025-09-10 08:00:00,21.2,83,0.0,303.0,False,52
2025-09-10 09:00:00,22.4,79,0.0,512.0,False,52
2025-09-10 10:00:00,23.9,73,0.0,665.0,False,52
2025-09-10 11:00:00,25.4,66,0.0,842.0,False,52
2025-09-10 12:00:00,26.8,57,0.0,928.0,False,52
2025-09-10 13:00:00,26.7,61,0.0,780.0,False,52
2025-09-10 14:00:00,26.9,60,0.1,688.0,True,53
2025-09-10 15:00:00,26.9,60,0.2,573.0,True,53
2025-09-10 16:00:00,24.8,69,1.4,360.0,True,53
2025-09-10 17:00:00,23.0,76,2.6,158.0,True,53
2025-09-10 18:00:00,22.3,78,0.5,43.0,True,53
2025-09-10 19:00:00,21.4,83,0.0,0.0,False,54
2025-09-10 20:00:00,21.0,84,0.4,0.0,True,55
2025-09-10 21:00:00,20.7,85,0.0,0.0,False,56
2025-09-10 22:00:00,20.2,86,0.0,0.0,False,56
2025-09-10 23:00:00,19.8,85,0.1,0.0,True,57
2025-09-11 00:00:00,19.1,89,0.0,0.0,False,58
2025-09-11 01:00:00,19.6,87,0.0,0.0,False,58
2025-09-11 02:00:00,19.5,86,0.0,0.0,False,58
2025-09-11 03:00:00,18.6,92,0.2,0.0,True,59
2025-09-11 04:00:00,17.8,95,0.0,0.0,True,59
2025-09-11 05:00:00,17.9,93,0.0,0.0,True,59
2025-09-11 06:00:00,18.3,90,0.0,0.0,False,60
2025-09-11 07:00:00,19.1,95,0.0,83.0,False,60
2025-09-11 08:00:00,20.7,86,0.0,268.0,False,60
2025-09-11 09:00:00,22.0,81,0.0,435.0,False,60
2025-09-11 10:00:00,23.6,75,0.0,649.0,False,60
2025-09-11 11:00:00,25.1,66,0.0,810.0,False,60
2025-09-11 12:00:00,26.3,59,0.0,876.0,False,60
2025-09-11 13:00:00,25.6,69,0.0,814.0,False,60
2025-09-11 14:00:00,25.8,69,0.4,643.0,True,61
2025-09-11 15:00:00,24.4,74,3.2,334.0,True,61
2025-09-11 16:00:00,23.7,74,1.1,267.0,True,61
2025-09-11 17:00:00,22.4,78,1.8,102.0,True,61
2025-09-11 18:00:00,21.3,80,2.0,27.0,True,61
2025-09-11 19:00:00,20.8,85,1.7,0.0,True,61
2025-09-11 20:00:00,20.5,86,0.6,0.0,True,61
2025-09-11 21:00:00,20.3,84,0.4,0.0,True,61
2025-09-11 22:00:00,19.8,86,0.0,0.0,False,62
2025-09-11 23:00:00,20.1,82,0.0,0.0,False,62
2025-09-12 00:00:00,20.0,83,0.0,0.0,False,62
2025-09-12 01:00:00,19.6,83,0.0,0.0,False,62
2025-09-12 02:00:00,19.5,84,0.0,0.0,False,62
2025-09-12 03:00:00,19.1,86,0.0,0.0,False,62
2025-09-12 04:00:00,18.2,92,0.0,0.0,True,63
2025-09-12 05:00:00,17.8,94,0.0,0.0,True,63
2025-09-12 06:00:00,17.7,95,0.0,0.0,True,63
2025-09-12 07:00:00,19.0,90,0.0,66.0,False,64
2025-09-12 08:00:00,20.3,85,0.0,248.0,False,64
2025-09-12 09:00:00,21.5,80,0.0,437.0,False,64
2025-09-12 10:00:00,23.1,73,0.0,657.0,False,64
2025-09-12 11:00:00,24.5,65,0.0,742.0,False,64
2025-09-12 12:00:00,25.9,58,0.0,815.0,False,64
2025-09-12 13:00:00,25.7,63,0.0,889.0,False,64
2025-09-12 14:00:00,26.1,62,0.1,725.0,True,65
2025-09-12 15:00:00,26.2,61,0.1,520.0,True,65
2025-09-12 16:00:00,25.4,64,0.4,359.0,True,65
2025-09-12 17:00:00,23.0,76,2.4,154.0,True,65
2025-09-12 18:00:00,21.6,80,2.1,40.0,True,65
2025-09-12 19:00:00,21.5,79,0.8,0.0,True,65
2025-09-12 20:00:00,21.0,84,0.0,0.0,False,66
2025-09-12 21:00:00,20.6,86,0.0,0.0,False,66
2025-09-12 22:00:00,19.9,88,0.0,0.0,False,66
2025-09-12 23:00:00,19.2,89,0.5,0.0,True,67
2025-09-13 00:00:00,19.3,85,0.1,0.0,True,67
2025-09-13 01:00:00,19.0,85,0.0,0.0,False,68
2025-09-13 02:00:00,18.1,91,0.0,0.0,True,69
2025-09-13 03:00:00,17.5,94,0.0,0.0,True,69
2025-09-13 04:00:00,17.2,94,0.0,0.0,True,69
2025-09-13 05:00:00,17.1,91,0.0,0.0,True,69
2025-09-13 06:00:00,17.1,91,0.0,0.0,True,69
2025-09-13 07:00:00,18.4,92,0.0,83.0,False,70
2025-09-13 08:00:00,20.8,80,0.0,308.0,False,70
2025-09-13 09:00:00,22.1,76,0.0,521.0,False,70
2025-09-13 10:00:00,23.8,69,0.0,712.0,False,70
2025-09-13 11:00:00,25.4,61,0.0,906.0,False,70
2025-09-13 12:00:00,26.8,54,0.0,962.0,False,70
2025-09-13 13:00:00,26.0,63,0.0,920.0,False,70
2025-09-13 14:00:00,26.8,59,0.0,733.0,False,70
2025-09-13 15:00:00,27.2,57,0.0,666.0,False,70
2025-09-13 16:00:00,25.1,63,0.8,303.0,True,71
2025-09-13 17:00:00,22.9,75,3.4,121.0,True,71
2025-09-13 18:00:00,21.7,79,2.3,32.0,True,71
2025-09-13 19:00:00,21.3,80,0.5,0.0,True,71
2025-09-13 20:00:00,20.5,86,0.2,0.0,True,71
2025-09-13 21:00:00,20.0,87,0.0,0.0,False,72
2025-09-13 22:00:00,19.6,88,0.0,0.0,False,72
2025-09-13 23:00:00,19.1,88,0.0,0.0,False,72
2025-09-14 00:00:00,18.8,89,0.0,0.0,False,72
2025-09-14 01:00:00,18.4,88,0.0,0.0,False,72
2025-09-14 02:00:00,18.0,89,0.0,0.0,False,72
2025-09-14 03:00:00,17.5,91,0.0,0.0,True,73
2025-09-14 04:00:00,17.2,91,0.0,0.0,True,73
