fecha,max_horas_mojadas,riesgo_roya
2025-09-01,11,Crítico
2025-09-02,11,Crítico
2025-09-03,10,Crítico
2025-09-04,7,Alto
2025-09-05,4,Moderado
2025-09-06,2,Bajo
2025-09-07,10,Crítico
2025-09-08,2,Bajo
2025-09-09,3,Moderado
2025-09-10,2,Bajo
2025-09-11,3,Moderado
2025-09-12,3,Moderado
2025-09-13,2,Bajo
2025-09-14,2,Bajo
2025-09-15,1,Bajo
2025-09-16,3,Moderado
2025-09-17,4,Moderado
2025-09-18,17,Crítico
2025-09-19,18,Crítico
2025-09-20,7,Alto
2025-09-21,6,Alto
2025-09-22,4,Moderado
2025-09-23,4,Moderado
2025-09-24,3,Moderado
2025-09-25,8,Alto
2025-09-26,4,Moderado
2025-09-27,5,Moderado
2025-09-28,5,Moderado
2025-09-29,8,Alto
2025-09-30,8,Alto
2025-10-01,6,Alto
