hacienda,parcela,zona,latitud,longitud,area_m2
Circasia,P1,Z1,4.616051,-75.652911,1000
Circasia,P1,Z2,4.616051,-75.652731,1000
Circasia,P1,Z3,4.616051,-75.652551,1000
Circasia,P1,Z4,4.616051,-75.65237,1000
Circasia,P1,Z5,4.616051,-75.65219,1000
Circasia,P1,Z6,4.6165,-75.652911,1000
Circasia,P1,Z7,4.6165,-75.652731,1000
Circasia,P1,Z8,4.6165,-75.652551,1000
Circasia,P1,Z9,4.6165,-75.65237,1000
Circasia,P1,Z10,4.6165,-75.65219,1000
Circasia,P2,Z1,4.616051,-75.65201,1000
Circasia,P2,Z2,4.616051,-75.65183,1000
Circasia,P2,Z3,4.616051,-75.651649,1000
Circasia,P2,Z4,4.616051,-75.651469,1000
Circasia,P2,Z5,4.616051,-75.651289,1000
Circasia,P2,Z6,4.6165,-75.65201,1000
Circasia,P2,Z7,4.6165,-75.65183,1000
Circasia,P2,Z8,4.6165,-75.651649,1000
Circasia,P2,Z9,4.6165,-75.651469,1000
Circasia,P2,Z10,4.6165,-75.651289,1000
Manizales,P1,Z1,5.042251,-75.571512,1000
Manizales,P1,Z2,5.042251,-75.571331,1000
Manizales,P1,Z3,5.042251,-75.571151,1000
Manizales,P1,Z4,5.042251,-75.570971,1000
Manizales,P1,Z5,5.042251,-75.57079,1000
Manizales,P1,Z6,5.0427,-75.571512,1000
Manizales,P1,Z7,5.0427,-75.571331,1000
Manizales,P1,Z8,5.0427,-75.571151,1000
Manizales,P1,Z9,5.0427,-75.570971,1000
Manizales,P1,Z10,5.0427,-75.57079,1000
Manizales,P2,Z1,5.042251,-75.57061,1000
Manizales,P2,Z2,5.042251,-75.570429,1000
Manizales,P2,Z3,5.042251,-75.570249,1000
Manizales,P2,Z4,5.042251,-75.570069,1000
Manizales,P2,Z5,5.042251,-75.569888,1000
Manizales,P2,Z6,5.0427,-75.57061,1000
Manizales,P2,Z7,5.0427,-75.570429,1000
Manizales,P2,Z8,5.0427,-75.570249,1000
Manizales,P2,Z9,5.0427,-75.570069,1000
Manizales,P2,Z10,5.0427,-75.569888,1000
