fecha,max_horas_mojadas,riesgo_roya
2025-09-01,17,Crítico
2025-09-02,11,Crítico
2025-09-03,5,Moderado
2025-09-04,9,Crítico
2025-09-05,17,Crítico
2025-09-06,14,Crítico
2025-09-07,11,Crítico
2025-09-08,9,Crítico
2025-09-09,5,Moderado
2025-09-10,6,Alto
2025-09-11,8,Alto
2025-09-12,6,Alto
2025-09-13,5,Moderado
2025-09-14,6,Alto
2025-09-15,8,Alto
2025-09-16,10,Crítico
2025-09-17,7,Alto
2025-09-18,20,Crítico
2025-09-19,13,Crítico
2025-09-20,1,Bajo
2025-09-21,13,Crítico
2025-09-22,6,Alto
2025-09-23,7,Alto
2025-09-24,8,Alto
2025-09-25,6,Alto
2025-09-26,6,Alto
2025-09-27,12,Crítico
2025-09-28,11,Crítico
2025-09-29,27,Crítico
2025-10-01,11,Crítico
